Nom,Description Marketing,Image,Fournisseur,Product ID,SKU ID,Plan ID,GUID,Facturation,Engagement,Apps incluses,Apps type,Prix
Google Workspace Voice Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWksVoice-fr,Google-Voice-Starter-Monthly,Flexible-Plan,1010330003,Mensuel,Mensuel,,,
Google Workspace Voice Standard,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWksVoice-fr,Google-Voice-Standard,Google-Voice-Standard-n0,1010330004,Mensuel,Mensuel,,,
Google Workspace Voice Standard,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWksVoice-fr,Google-Voice-Standard,Google-Voice-Standard-n1,1010330004,Mensuel,Mensuel,,,
Google Workspace Voice Standard,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWksVoice-fr,Google-Voice-Standard,Google-Voice-Standard-n2,1010330004,Mensuel,Mensuel,,,
Google Workspace Voice Standard,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWksVoice-fr,Google-Voice-Standard,Google-Voice-Standard-n3,1010330004,Mensuel,Mensuel,,,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,GWS-Frontline-Starter-Monthly,GWS-Frontline-Starter-Flex,1010020030,Mensuel,Mensuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,GWS-Frontline-Starter-Monthly,GWS-Frontline-Starter-Annual-Mon,1010020030,Mensuel,Annuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,GWS-Frontline-Starter-Monthly,GWS-Frontline-Starter-Annual--n5,1010020030,Mensuel,Annuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,GWS-Frontline-Starter-Yearly,GWS-Frontline-Starter-Annual-Yea,1010020030,Annuel,Annuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,Front-Starter-Monthly,Front-Starter-FlexAutorenew,1010020030,Mensuel,Mensuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,Front-Starter-Monthly,Front-Starter-FlexTransfer,1010020030,Mensuel,Mensuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,Front-Starter-Monthly,Front-Starter-36Mnth,1010020030,Mensuel,36 mois,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,Front-Starter-Monthly,Front-Starter-36Mnth-n0,1010020030,Mensuel,36 mois,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,Front-Starter-Monthly,Front-Starter-Annual-Monthly,1010020030,Mensuel,Annuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,Front-Starter-Monthly,Front-Starter-Annual-Monthly-n0,1010020030,Mensuel,Annuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,GWS-Front-Starter-Monthly---RABF,GWS-Front-Starter---Annual-month,1010020030,Mensuel,Annuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,GWS-Front-Starter-Monthly---RABF,GWS-Front-Starter---Annual-Mo-n0,1010020030,Mensuel,Annuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,GWS-Front-Starter-Monthly---RABF,GWS-Front-Starter---Flexible,1010020030,Mensuel,Mensuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,GWS-Front-Starter-Monthly---RABF,GWS-Front-Starter---Flexible-n0,1010020030,Mensuel,Mensuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,GWS-Front-Starter-Monthly---RABF,GWS-Front-Starter---Annual-mo-n1,1010020030,Mensuel,Annuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,GWS-Front-Starter-Monthly---RABF,GWS-Front-Starter---Annual-mo-n2,1010020030,Mensuel,Annuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Standard,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,GWS-Front-Standard-Monthly---RAB,GWS-Front-Standard---Commitment-,1010020031,Mensuel,Mensuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Standard,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,GWS-Front-Standard-Monthly---RAB,GWS-Front-Standard---36-months-f,1010020031,Mensuel,36 mois,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Standard,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,GWS-Front-Standard-Monthly---RAB,GWS-Frontline-Starter-36-MonthMo,1010020031,Mensuel,36 mois,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Frontline Standard,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspaceFroline-isvfr,GWS-Front-Standard-Monthly---RAB,GWS-Frontline-Offline,1010020031,Mensuel,Mensuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Education,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,NEWGWSEdu-isvfr,Google-Workspace-for-Education-P,Trial-Plan,,Mensuel,Mensuel,,,
Google Workspace Education,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,NEWGWSEdu-isvfr,Google-Workspace-for-Education-S,Trial,,Mensuel,Mensuel,,,
Google Workspace Education,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,NEWGWSEdu-isvfr,sku--Google-Workspace-for-Edu-n0,Trial-Plan-n1,,Mensuel,Mensuel,,,
Google Workspace Education,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,NEWGWSEdu-isvfr,sku--Google-Workspace-for-Edu-n0,Flexible-Plan-n1,,Mensuel,Mensuel,,,
Google Workspace Education,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,NEWGWSEdu-isvfr,sku--Google-Workspace-for-Edu-n0,Annual-Plan-Monthly-Payment-n1,,Mensuel,Annuel,,,
Google Workspace Education,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,NEWGWSEdu-isvfr,GWS-for-Education-Teaching-and-L,Annual-Plan-Yearly-Payment-n3,,Mensuel,Annuel,,,
Google Workspace Education,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,NEWGWSEdu-isvfr,GWS-for-Education-Teaching-an-n0,Trial-Plan-n2,,Mensuel,Mensuel,,,
Google Workspace Education,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,NEWGWSEdu-isvfr,Google-Workspace-for-Education-F,Trial-Plan-n3,,Mensuel,Mensuel,,,
Google Workspace Education,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,NEWGWSEdu-isvfr,Google-Workspace-for-Education-F,Google-Workspace-for-Educatio-n1,,Mensuel,Mensuel,,,
Google Workspace Education,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,NEWGWSEdu-isvfr,Google-Workspace-for-Educatio-n0,GWS-for-Education-Plus--Annual-P,,Annuel,Annuel,,,
Google Workspace Education,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,NEWGWSEdu-isvfr,Google-Workspace-for-Educatio-n0,GWS-for-Education-Plus--Annua-n0,,Annuel,Annuel,,,
Google Workspace Education,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,NEWGWSEdu-isvfr,Google-Workspace-for-Educatio-n0,GWS-for-Education-Plus---Annual-,,Annuel,Annuel,,,
Google Workspace Education,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,NEWGWSEdu-isvfr,GWS-for-Education-Teaching-an-n1,GWS-for-Education-Teaching-an-n2,,Mensuel,Annuel,,,
Google Workspace Education,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,NEWGWSEdu-isvfr,GWS-for-Education-Teaching-an-n1,GWS-for-Education-Teaching-an-n3,,Annuel,Annuel,,,
Google Workspace Business Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspace-isvfr,GWS-Bus-Starter-Monthly,GWS-Bus-Starter-Flex,1010020027,Mensuel,Mensuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,6.90
Google Workspace Business Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspace-isvfr,GWS-Bus-Starter-Monthly,GWS-Bus-Starter-Annual-Monthly-P,1010020027,Mensuel,Annuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Business Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspace-isvfr,GWS-Bus-Starter-Monthly,GWS-Bus-Starter-Trial-Plan,1010020027,Mensuel,Mensuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,6.90
Google Workspace Business Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspace-isvfr,GWS-Bus-Starter-Monthly,GWS-Bus-Starter-Annual-Monthl-n2,1010020027,Mensuel,Annuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,
Google Workspace Business Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspace-isvfr,GWS-Bus-Starter-Yearly,GWS-Bus-Starter-Annual-Yearly-Py,1010020027,Annuel,Annuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,69.00
Google Workspace Business Starter,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/gws-logo.png,google,GoogleWorkspace-isvfr,Bus-Starter-Monthly,Bus-Starter-FlexAutorenew,1010020027,Mensuel,Mensuel,"Gmail, Gemini, Meet, Drive, Chat, Agenda, Docs, Sheets, Slides, NotebookLM, AppSheet ",complete,6.90
