Nom,SKU ID,Description Marketing,Image,Fournisseur,Product ID,Plan ID,GUID,Facturation,Engagement,Apps incluses,Apps type,Prix
Microsoft Defender for Endpoint,Microsoft-Defender-For-Endpoint,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly,,Mensuel,,,,
Microsoft Defender for Endpoint,Microsoft-Defender-For-Endpoint,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual,,Annuel,,,,
Microsoft Defender for Endpoint,Microsoft-Defender-For-Endpoint-,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n0,,Mensuel,,,,
Microsoft Defender for Endpoint,Microsoft-Defender-For-Endpoint-,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n0,,Annuel,,,,
Microsoft Defender for Endpoint N0,Microsoft-Defender-for-Endpoi-n0,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n1,,Mensuel,,,,
Microsoft Defender for Endpoint N0,Microsoft-Defender-for-Endpoi-n0,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n1,,Annuel,,,,
Microsoft Defender for Endpoint N1,Microsoft-Defender-for-Endpoi-n1,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n2,,Mensuel,,,,
Microsoft Defender for Endpoint N1,Microsoft-Defender-for-Endpoi-n1,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n2,,Annuel,,,,
Microsoft Defender for Identity,Microsoft-Defender-for-Identity,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n3,,Mensuel,,,,
Microsoft Defender for Identity,Microsoft-Defender-for-Identity,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n3,,Annuel,,,,
Microsoft Defender for Identity,Microsoft-Defender-for-Identity-,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n4,,Mensuel,,,,
Microsoft Defender for Identity,Microsoft-Defender-for-Identity-,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n4,,Annuel,,,,
Microsoft Defender for Identity N0,Microsoft-Defender-for-Identi-n0,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n5,,Mensuel,,,,
Microsoft Defender for Identity N0,Microsoft-Defender-for-Identi-n0,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n5,,Annuel,,,,
Microsoft Defender for Identity N1,Microsoft-Defender-for-Identi-n1,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n6,,Mensuel,,,,
Microsoft Defender for Identity N1,Microsoft-Defender-for-Identi-n1,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n6,,Annuel,,,,
Microsoft Defender for Endpoint N2,Microsoft-Defender-for-Endpoi-n2,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n7,,Mensuel,,,,
Microsoft Defender for Endpoint N2,Microsoft-Defender-for-Endpoi-n2,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n7,,Annuel,,,,
Microsoft Defender for Identity N2,Microsoft-Defender-for-Identi-n2,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n8,,Mensuel,,,,
Microsoft Defender for Identity N2,Microsoft-Defender-for-Identi-n2,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n8,,Annuel,,,,
Microsoft Defender for Endpoint N3,Microsoft-Defender-for-Endpoi-n3,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n9,,Mensuel,,,,
Microsoft Defender for Endpoint N3,Microsoft-Defender-for-Endpoi-n3,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n9,,Annuel,,,,
Microsoft Defender for Endpoint N4,Microsoft-Defender-for-Endpoi-n4,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n10,,Mensuel,,,,
Microsoft Defender for Endpoint N4,Microsoft-Defender-for-Endpoi-n4,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n10,,Annuel,,,,
Microsoft Defender for Business,Microsoft-Defender-for-Business-,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n11,,Mensuel,,,,
Microsoft Defender for Business,Microsoft-Defender-for-Business-,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n11,,Annuel,,,,
Microsoft Defender for Endpoint N5,Microsoft-Defender-for-Endpoi-n5,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n12,,Mensuel,,,,
Microsoft Defender for Endpoint N5,Microsoft-Defender-for-Endpoi-n5,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n12,,Annuel,,,,
Microsoft Defender for Endpoint N6,Microsoft-Defender-for-Endpoi-n6,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n13,,Mensuel,,,,
Microsoft Defender for Endpoint N6,Microsoft-Defender-for-Endpoi-n6,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n13,,Annuel,,,,
Microsoft Defender for Endpoint N7,Microsoft-Defender-for-Endpoi-n7,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n14,,Mensuel,,,,
Microsoft Defender for Endpoint N7,Microsoft-Defender-for-Endpoi-n7,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n14,,Annuel,,,,
Microsoft Defender for Cloud App,Microsoft-Defender-for-Cloud-App,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n15,,Mensuel,,,,
Microsoft Defender for Cloud App,Microsoft-Defender-for-Cloud-App,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n15,,Annuel,,,,
Microsoft Defender Vulnerability,Microsoft-Defender-Vulnerability,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n17,,Mensuel,,,,
Microsoft Defender Vulnerability,Microsoft-Defender-Vulnerability,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n17,,Annuel,,,,
Microsoft Defender Vulnerability N0,Microsoft-Defender-Vulnerabil-n0,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n18,,Mensuel,,,,
Microsoft Defender Vulnerability N0,Microsoft-Defender-Vulnerabil-n0,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n18,,Annuel,,,,
Microsoft Defender Threat Intelligence,Defender-Threat-Intelligence-for,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n19,,Mensuel,,,,
Microsoft Defender Threat Intelligence,Defender-Threat-Intelligence-for,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n19,,Annuel,,,,
Microsoft Defender Threat Intelligence N0,Defender-Threat-Intelligence--n0,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n20,,Mensuel,,,,
Microsoft Defender Threat Intelligence N0,Defender-Threat-Intelligence--n0,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n20,,Annuel,,,,
Microsoft Defender for Endpoint N8,Microsoft-Defender-for-Endpoi-n8,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n21,,Mensuel,,,,
Microsoft Defender for Endpoint N8,Microsoft-Defender-for-Endpoi-n8,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n21,,Annuel,,,,
Microsoft Defender for Endpoint N9,Microsoft-Defender-for-Endpoi-n9,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n22,,Mensuel,,,,
Microsoft Defender for Endpoint N9,Microsoft-Defender-for-Endpoi-n9,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n22,,Annuel,,,,
Microsoft Defender for Endpoint N11,Microsoft-Defender-for-Endpo-n11,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Monthly-n24,,Mensuel,,,,
Microsoft Defender for Endpoint N11,Microsoft-Defender-for-Endpo-n11,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,MSDefender-isvfr,Annual-n24,,Annuel,,,,
